# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	7.610011e-02	3.297257e-03	-2.387931e-04	7.598071e-02	-7.621951e-02
0.1           	6.386894e-02	2.763422e-03	-1.644122e-04	6.378674e-02	-6.395115e-02
0.15          	5.264453e-02	2.285198e-03	-1.054301e-04	5.259181e-02	-5.269724e-02
0.2           	4.192584e-02	1.835271e-03	-5.987076e-05	4.189590e-02	-4.195577e-02
0.25          	3.223605e-02	1.434030e-03	-2.204820e-05	3.222503e-02	-3.224707e-02
0.3           	2.410349e-02	1.099898e-03	7.651173e-06	2.410732e-02	-2.409967e-02
0.35          	1.427662e-02	7.449116e-04	1.055243e-04	1.432938e-02	-1.422386e-02
0.4           	1.142251e-02	6.095412e-04	9.513963e-05	1.147008e-02	-1.137494e-02
0.45          	1.038729e-02	5.432667e-04	6.949264e-05	1.042204e-02	-1.035255e-02
0.5           	8.969601e-03	4.649784e-04	5.284819e-05	8.996025e-03	-8.943177e-03
0.55          	8.213677e-03	4.009273e-04	2.106267e-05	8.224208e-03	-8.203145e-03
0.6           	6.552944e-03	3.147235e-04	6.497685e-06	6.556193e-03	-6.549695e-03
0.65          	4.726514e-03	2.425079e-04	1.043029e-05	4.731729e-03	-4.721298e-03
0.7           	3.529357e-03	1.983494e-04	1.831737e-05	3.538516e-03	-3.520199e-03
0.75          	2.911695e-03	1.735631e-04	2.354458e-05	2.923467e-03	-2.899923e-03
0.8           	2.655252e-03	1.586093e-04	2.412783e-05	2.667316e-03	-2.643188e-03
0.85          	2.521955e-03	1.465612e-04	2.015780e-05	2.532034e-03	-2.511876e-03
0.9           	2.363196e-03	1.345911e-04	1.509251e-05	2.370742e-03	-2.355649e-03
0.95          	2.170540e-03	1.231811e-04	1.146579e-05	2.176272e-03	-2.164807e-03
1             	1.993024e-03	1.136572e-04	9.479363e-06	1.997763e-03	-1.988284e-03
1.05          	1.855779e-03	1.060229e-04	8.271791e-06	1.859915e-03	-1.851643e-03
1.1           	1.753604e-03	9.989263e-05	7.346400e-06	1.757277e-03	-1.749931e-03
1.15          	1.670651e-03	9.477329e-05	6.457241e-06	1.673879e-03	-1.667422e-03
1.2           	1.615867e-03	9.139905e-05	5.594429e-06	1.618664e-03	-1.613070e-03
1.25          	1.583105e-03	8.923049e-05	4.854147e-06	1.585532e-03	-1.580678e-03
1.3           	1.559193e-03	8.735818e-05	4.336712e-06	1.561361e-03	-1.557025e-03
1.35          	1.537827e-03	8.534755e-05	3.884320e-06	1.539769e-03	-1.535884e-03
1.4           	1.518580e-03	8.360039e-05	3.418819e-06	1.520290e-03	-1.516871e-03
1.45          	1.503146e-03	8.220186e-05	2.863853e-06	1.504578e-03	-1.501714e-03
1.5           	1.489718e-03	8.110392e-05	2.352186e-06	1.490894e-03	-1.488542e-03
1.55          	1.477510e-03	8.015257e-05	1.990655e-06	1.478505e-03	-1.476514e-03
1.6           	1.468144e-03	7.937632e-05	1.768044e-06	1.469028e-03	-1.467259e-03
1.65          	1.461825e-03	7.873922e-05	1.585968e-06	1.462618e-03	-1.461032e-03
1.7           	1.457211e-03	7.821310e-05	1.429321e-06	1.457926e-03	-1.456497e-03
1.75          	1.453363e-03	7.778004e-05	1.287278e-06	1.454007e-03	-1.452720e-03
1.8           	1.450243e-03	7.745873e-05	1.166296e-06	1.450826e-03	-1.449660e-03
1.85          	1.447976e-03	7.711691e-05	1.020522e-06	1.448487e-03	-1.447466e-03
1.9           	1.446278e-03	7.682978e-05	8.925609e-07	1.446724e-03	-1.445832e-03
