volume,surface,width,euler
0.548,0.116,-1.05E-05,-1.55E-04
0.506,0.116,1.46E-04,-1.33E-04
0.576,0.122,-2.14E-04,-2.01E-04
0.592,0.132,-7.51E-05,-2.73E-04
0.571,0.13,2.23E-04,-2.39E-04
0.596,0.124,9.59E-05,-1.71E-04
0.557,0.132,4.20E-04,-2.15E-04
0.556,0.123,3.84E-04,-1.22E-04
0.536,0.133,4.36E-04,-1.94E-04
0.595,0.137,7.44E-06,-2.47E-04
0.568,0.135,1.27E-04,-2.03E-04
0.606,0.131,-6.92E-05,-1.82E-04
0.558,0.135,3.13E-04,-2.89E-04
0.568,0.133,9.23E-06,-2.25E-04
0.586,0.128,2.86E-04,-1.75E-04
0.595,0.133,-4.46E-05,-1.77E-04
0.524,0.141,6.12E-04,-2.37E-04
0.569,0.133,1.14E-04,-2.59E-04
0.579,0.128,3.65E-05,-1.57E-04
0.61,0.13,1.04E-05,-2.78E-04
0.571,0.127,3.84E-04,-1.25E-04
0.587,0.133,1.43E-04,-2.04E-04
0.544,0.133,4.50E-04,-2.10E-04
0.54,0.133,3.05E-04,-2.39E-04
0.57,0.131,-2.73E-05,-2.38E-04
0.582,0.132,-7.82E-05,-2.52E-04
0.585,0.135,-2.21E-04,-2.59E-04
0.572,0.136,-2.81E-04,-2.46E-04
0.534,0.135,3.44E-04,-2.35E-04
0.571,0.133,3.66E-05,-2.38E-04
0.59,0.14,-2.19E-04,-2.60E-04
0.562,0.124,-1.63E-04,-1.87E-04
0.566,0.131,8.64E-05,-2.24E-04
0.575,0.128,-2.63E-04,-2.21E-04
0.541,0.127,2.44E-04,-2.03E-04
0.579,0.135,-8.43E-05,-2.50E-04
0.562,0.135,1.68E-05,-2.82E-04
0.579,0.139,-6.07E-05,-3.45E-04
0.544,0.134,1.93E-04,-2.44E-04
0.574,0.13,1.20E-05,-2.23E-04
0.556,0.135,1.41E-04,-2.23E-04
0.55,0.132,2.39E-04,-2.40E-04
0.535,0.12,1.00E-04,-1.51E-04
0.547,0.133,2.41E-04,-2.19E-04
0.564,0.134,4.54E-05,-2.21E-04
0.554,0.13,2.08E-04,-2.00E-04
0.541,0.133,3.14E-04,-2.05E-04
0.563,0.135,2.86E-04,-2.29E-04
0.556,0.141,9.09E-05,-2.71E-04
0.549,0.137,2.91E-04,-2.86E-04
0.545,0.131,3.41E-04,-1.93E-04
0.574,0.136,1.98E-05,-2.43E-04
0.583,0.131,1.03E-05,-1.94E-04
0.565,0.129,-1.61E-04,-2.42E-04
0.584,0.138,-8.44E-05,-2.67E-04
0.606,0.139,-3.03E-04,-2.86E-04
0.521,0.125,3.60E-04,-1.72E-04
0.548,0.133,2.46E-04,-2.19E-04
0.542,0.135,3.81E-04,-2.19E-04
0.616,0.133,-3.34E-04,-2.89E-04
0.558,0.126,2.77E-04,-1.87E-04
0.562,0.132,2.73E-04,-1.90E-04
0.572,0.135,-2.15E-04,-2.01E-04
0.588,0.14,-4.34E-05,-3.19E-04
0.541,0.133,-2.76E-05,-2.56E-04
0.575,0.131,1.59E-04,-2.14E-04
0.568,0.136,2.09E-04,-2.50E-04
0.568,0.142,1.12E-04,-2.59E-04
0.558,0.136,2.25E-04,-2.36E-04
0.545,0.138,3.14E-04,-2.66E-04
0.541,0.127,4.56E-04,-1.96E-04
0.542,0.132,3.56E-04,-2.09E-04
0.568,0.133,1.73E-04,-1.87E-04
0.573,0.131,1.21E-04,-2.21E-04
0.581,0.135,1.74E-04,-2.19E-04
0.569,0.13,-5.86E-05,-2.23E-04
0.564,0.135,1.47E-04,-2.24E-04
0.569,0.131,-2.15E-05,-1.91E-04
0.561,0.128,3.26E-04,-1.82E-04
0.548,0.132,4.60E-04,-1.94E-04
0.57,0.131,2.54E-04,-2.41E-04
0.555,0.134,4.74E-04,-2.41E-04
0.596,0.133,4.94E-05,-2.38E-04
0.566,0.127,-2.89E-06,-2.26E-04
0.586,0.127,-1.28E-04,-2.36E-04
0.564,0.129,2.01E-04,-1.74E-04
0.597,0.13,-4.84E-04,-2.40E-04
0.58,0.126,9.12E-05,-1.52E-04
0.595,0.137,-1.39E-04,-2.33E-04
0.566,0.128,2.25E-04,-1.87E-04
0.565,0.127,2.67E-04,-1.94E-04
0.531,0.132,3.93E-04,-1.62E-04
0.564,0.127,3.50E-04,-2.08E-04
0.58,0.138,1.24E-04,-2.67E-04
0.558,0.146,2.31E-04,-3.09E-04
0.562,0.134,3.55E-04,-2.13E-04
0.565,0.137,2.52E-04,-2.23E-04
0.573,0.135,-2.12E-04,-2.69E-04
0.527,0.13,4.55E-04,-1.73E-04
0.589,0.126,5.04E-05,-1.71E-04
0.558,0.132,3.29E-04,-1.69E-04
0.56,0.129,3.96E-04,-1.36E-04
0.579,0.134,1.87E-04,-2.30E-04
0.587,0.13,-2.84E-05,-1.89E-04
0.584,0.135,-1.47E-05,-1.99E-04
0.583,0.129,2.21E-04,-2.14E-04
0.563,0.137,2.41E-04,-2.46E-04
0.571,0.132,1.38E-04,-2.55E-04
0.542,0.132,8.22E-05,-2.64E-04
0.568,0.127,3.41E-04,-1.71E-04
0.574,0.139,8.38E-05,-3.01E-04
0.585,0.13,5.60E-05,-2.49E-04
0.571,0.129,2.12E-04,-2.13E-04
0.615,0.133,-3.15E-04,-2.09E-04
0.57,0.137,2.34E-04,-2.11E-04
0.606,0.129,-2.93E-04,-1.82E-04
0.548,0.131,3.52E-04,-1.79E-04
0.583,0.115,6.44E-05,-1.14E-04
0.54,0.126,5.30E-04,-1.87E-04
