volume,surface,width,euler
0.468,0.173,0.001 ,-0.0002 
0.375,0.184,0.003 ,-0.0006 
0.468,0.156,0.001 ,-0.0005 
0.451,0.133,0.001 ,-0.0003 
0.481,0.131,0.001 ,-0.0003 
0.475,0.109,0.001 ,-0.0001 
0.463,0.114,0.001 ,-0.0001 
0.388,0.112,0.001 ,0.0000 
0.91,0.039,0.002 ,0.0004 
0.407,0.149,0.001 ,-0.0004 
0.428,0.128,0.002 ,-0.0002 
0.381,0.144,0.002 ,-0.0002 
0.434,0.137,0.001 ,-0.0002 
0.443,0.144,0.001 ,-0.0003 
0.421,0.131,0.002 ,-0.0001 
0.432,0.127,0.001 ,-0.0001 
0.45,0.115,0.001 ,0.0000 
0.785,0.051,0.001 ,0.0002 
0.481,0.15,0.001 ,-0.0004 
0.447,0.156,0.002 ,-0.0003 
0.497,0.164,0.001 ,-0.0006 
0.41,0.129,0.002 ,0.0000 
0.384,0.136,0.002 ,-0.0002 
0.385,0.13,0.002 ,-0.0001 
0.438,0.136,0.001 ,-0.0002 
0.469,0.141,0.001 ,-0.0003 
0.411,0.145,0.002 ,-0.0003 
0.399,0.116,0.001 ,-0.0001 
0.347,0.15,0.003 ,-0.0001 
0.407,0.144,0.002 ,-0.0003 
0.479,0.151,0.001 ,-0.0003 
0.436,0.145,0.002 ,-0.0002 
0.439,0.15,0.002 ,-0.0004 
0.617,0.121,0.001 ,-0.0003 
0.39,0.158,0.003 ,-0.0002 
0.446,0.148,0.001 ,-0.0008 
0.454,0.15,0.002 ,-0.0003 
0.506,0.134,0.000 ,-0.0001 
0.596,0.087,0.000 ,-0.0001 
0.445,0.091,0.001 ,-0.0002 
0.484,0.124,0.001 ,-0.0002 
0.421,0.105,0.001 ,0.0000 
0.591,0.105,0.000 ,-0.0001 
0.422,0.14,0.002 ,-0.0002 
0.512,0.113,0.000 ,0.0000 
0.478,0.094,0.000 ,-0.0001 
0.461,0.144,0.001 ,-0.0005 
0.492,0.149,0.001 ,-0.0003 
0.501,0.135,0.000 ,-0.0002 
0.442,0.13,0.002 ,-0.0002 
0.448,0.128,0.001 ,-0.0003 
0.54,0.137,0.001 ,-0.0003 
0.421,0.13,0.001 ,-0.0001 
0.417,0.176,0.003 ,-0.0006 
0.366,0.123,0.002 ,0.0000 
0.431,0.149,0.002 ,-0.0003 
0.442,0.156,0.002 ,-0.0004 
0.439,0.154,0.001 ,-0.0006 
0.42,0.129,0.001 ,-0.0002 
0.562,0.106,0.000 ,-0.0001 
0.402,0.15,0.002 ,-0.0003 
0.437,0.136,0.002 ,-0.0002 
0.549,0.129,0.000 ,-0.0003 
0.38,0.131,0.002 ,-0.0001 
0.491,0.103,0.000 ,0.0000 
0.39,0.153,0.002 ,-0.0002 
0.492,0.116,0.000 ,-0.0001 
0.503,0.14,0.001 ,-0.0002 
0.454,0.144,0.001 ,-0.0003 
0.385,0.113,0.001 ,0.0000 
0.573,0.17,0.001 ,-0.0005 
0.549,0.108,0.000 ,-0.0002 
0.624,0.096,0.000 ,-0.0002 
0.411,0.124,0.001 ,-0.0001 
0.495,0.146,0.001 ,-0.0002 
0.428,0.128,0.001 ,-0.0001 
0.503,0.112,0.000 ,-0.0001 
0.497,0.134,0.000 ,-0.0003 
0.519,0.145,0.001 ,-0.0003 
0.464,0.15,0.001 ,-0.0005 
0.426,0.147,0.002 ,-0.0003 
0.415,0.16,0.003 ,-0.0003 
0.51,0.08,0.000 ,0.0000 
0.425,0.109,0.000 ,-0.0002 
0.708,0.091,0.001 ,-0.0001 
0.401,0.121,0.001 ,-0.0001 
0.48,0.133,0.001 ,-0.0001 
0.392,0.15,0.002 ,-0.0002 
0.539,0.163,0.001 ,-0.0006 
0.416,0.136,0.002 ,-0.0001 
0.467,0.139,0.001 ,-0.0003 
0.435,0.119,0.001 ,-0.0001 
0.484,0.13,0.001 ,-0.0002 
0.466,0.12,0.001 ,0.0000 
0.498,0.076,0.000 ,0.0000 
0.412,0.103,0.001 ,-0.0001 
0.562,0.11,0.000 ,-0.0001 
0.497,0.154,0.001 ,-0.0004 
0.392,0.123,0.002 ,-0.0001 
0.418,0.115,0.001 ,-0.0002 
0.477,0.137,0.001 ,-0.0002 
0.445,0.154,0.001 ,-0.0005 
0.403,0.147,0.002 ,-0.0002 
0.339,0.116,0.002 ,0.0000 
0.445,0.135,0.002 ,-0.0001 
0.435,0.13,0.001 ,-0.0002 
0.646,0.111,0.001 ,0.0000 
0.433,0.096,0.000 ,-0.0001 
0.405,0.129,0.002 ,0.0000 
0.537,0.116,0.000 ,-0.0001 
0.459,0.132,0.001 ,-0.0002 
0.507,0.137,0.001 ,-0.0002 
0.841,0.079,0.002 ,0.0006 
0.454,0.157,0.001 ,-0.0004 
0.47,0.142,0.001 ,-0.0003 
0.446,0.165,0.001 ,-0.0006 
0.457,0.148,0.001 ,-0.0006 
0.487,0.142,0.000 ,-0.0005 
0.429,0.145,0.002 ,-0.0004 
0.448,0.148,0.001 ,-0.0005 
0.444,0.159,0.001 ,-0.0006 
0.467,0.149,0.001 ,-0.0006 
0.407,0.139,0.001 ,-0.0004 
0.522,0.144,0.000 ,0.0002 
0.457,0.147,0.001 ,-0.0005 
0.458,0.145,0.001 ,-0.0005 
0.47,0.138,0.001 ,-0.0002 
0.458,0.111,0.001 ,-0.0001 
0.44,0.145,0.001 ,-0.0003 
0.481,0.112,0.000 ,0.0000 
0.418,0.135,0.002 ,-0.0003 
0.448,0.14,0.001 ,-0.0002 
0.48,0.133,0.000 ,-0.0003 
0.453,0.082,0.000 ,-0.0001 
0.537,0.15,0.000 ,-0.0004 
0.408,0.141,0.002 ,-0.0003 
0.486,0.095,0.000 ,0.0000 
0.389,0.132,0.002 ,-0.0002 
0.466,0.133,0.001 ,-0.0002 
0.496,0.14,0.001 ,-0.0003 
0.468,0.107,0.000 ,-0.0001 
0.463,0.142,0.001 ,-0.0003 
0.535,0.11,0.000 ,-0.0001 
0.429,0.112,0.001 ,-0.0001 
0.533,0.139,0.000 ,-0.0004 
0.443,0.132,0.001 ,-0.0001 
0.463,0.133,0.001 ,-0.0004 
0.382,0.145,0.002 ,-0.0002 
0.36,0.12,0.002 ,0.0000 
0.429,0.131,0.002 ,-0.0002 
0.436,0.143,0.001 ,-0.0003 
0.502,0.128,0.001 ,-0.0003 
0.604,0.093,0.000 ,0.0000 
0.394,0.133,0.002 ,-0.0001 
0.42,0.139,0.001 ,-0.0004 
0.451,0.116,0.001 ,-0.0001 
0.463,0.128,0.000 ,-0.0003 
0.41,0.135,0.002 ,-0.0002 
0.35,0.136,0.002 ,-0.0001 
0.42,0.14,0.002 ,-0.0002 
0.512,0.1,0.000 ,-0.0001 
0.462,0.132,0.001 ,-0.0001 
0.499,0.151,0.001 ,-0.0005 
0.563,0.088,0.000 ,0.0000 
0.428,0.145,0.002 ,-0.0002 
0.436,0.148,0.001 ,-0.0003 
0.494,0.136,0.001 ,-0.0003 
0.442,0.156,0.001 ,-0.0004 
0.521,0.121,0.001 ,-0.0002 
0.423,0.148,0.002 ,-0.0004 
0.519,0.095,0.000 ,0.0000 
0.491,0.118,0.000 ,-0.0001 
0.468,0.154,0.001 ,-0.0005 
0.416,0.135,0.001 ,-0.0002 
0.409,0.158,0.002 ,-0.0004 
0.395,0.127,0.002 ,-0.0002 
0.384,0.127,0.002 ,0.0000 
0.479,0.153,0.001 ,-0.0004 
0.478,0.132,0.001 ,-0.0001 
0.566,0.133,0.001 ,-0.0003 
0.458,0.095,0.001 ,0.0000 
0.378,0.155,0.002 ,-0.0004 
0.509,0.13,0.000 ,-0.0003 
0.421,0.125,0.002 ,-0.0001 
0.464,0.12,0.001 ,-0.0002 
0.42,0.121,0.001 ,-0.0002 
0.457,0.113,0.001 ,0.0000 
0.541,0.099,0.000 ,-0.0001 
0.399,0.132,0.001 ,-0.0003 
0.458,0.166,0.001 ,-0.0003 
0.569,0.129,0.000 ,-0.0003 
0.523,0.104,0.001 ,0.0000 
0.441,0.101,0.001 ,-0.0001 
0.476,0.122,0.001 ,-0.0002 
0.499,0.12,0.000 ,-0.0002 
0.469,0.145,0.001 ,-0.0003 
0.499,0.122,0.001 ,-0.0001 
0.501,0.137,0.000 ,-0.0002 
0.62,0.122,0.001 ,-0.0001 
0.409,0.154,0.002 ,-0.0003 
